node,community
0,1
1,1
2,1
3,4
4,3
5,3
6,3
7,4
8,9
9,9
10,1
11,5
12,1
13,1
14,3
15,4
16,4
17,5
18,7
19,4
20,4
21,4
22,4
23,0
24,5
25,5
26,7
27,3
28,7
29,7
30,4
31,1
32,1
33,4
34,7
35,4
36,7
37,9
38,7
39,5
40,7
41,4
42,4
43,7
44,3
45,7
46,10
47,3
48,5
49,10
50,5
51,5
52,7
53,3
54,1
55,4
56,9
57,7
58,5
59,10
60,5
61,1
62,7
63,3
64,1
65,10
66,1
67,0
68,0
69,4
70,3
71,7
72,3
73,3
74,3
75,3
76,3
77,10
78,4
79,1
80,1
81,1
82,3
83,3
84,7
85,3
86,7
87,5
88,3
89,7
90,7
91,3
92,7
93,3
94,7
95,5
96,3
97,3
98,7
99,7
100,9
101,7
102,7
103,5
104,4
105,3
106,5
107,3
108,4
109,3
110,5
111,7
112,1
113,1
114,2
115,5
116,7
117,7
118,3
119,7
120,3
121,1
122,5
123,5
124,3
125,7
126,7
127,3
128,10
129,4
130,5
131,4
132,5
133,10
134,1
135,4
136,5
137,7
138,10
139,4
140,5
141,9
142,3
143,7
144,10
145,7
146,3
147,4
148,10
149,7
150,10
151,1
152,9
153,10
154,7
155,7
156,9
157,9
158,5
159,4
160,4
161,0
162,10
163,1
164,10
165,1
166,10
167,9
168,7
169,4
170,5
171,10
172,10
173,10
174,3
175,10
176,5
177,7
178,4
179,4
180,10
181,7
182,7
183,10
184,10
185,7
186,4
187,10
188,10
189,10
190,5
191,5
192,9
193,10
194,5
195,7
196,4
197,4
198,4
199,0
200,7
201,1
202,3
203,7
204,3
205,9
206,10
207,1
208,7
209,7
210,4
211,3
212,10
213,4
214,7
215,10
216,10
217,9
218,10
219,4
220,7
221,7
222,5
223,3
224,5
225,10
226,7
227,10
228,9
229,7
230,10
231,7
232,7
233,4
234,3
235,3
236,7
237,7
238,3
239,7
240,4
241,10
242,10
243,7
244,0
245,1
246,7
247,3
248,4
249,5
250,10
251,3
252,7
253,4
254,4
255,7
256,3
257,7
258,5
259,7
260,4
261,10
262,7
263,10
264,10
265,4
266,10
267,4
268,10
269,7
270,10
271,3
272,7
273,1
274,3
275,9
276,3
277,9
278,4
279,3
280,7
281,4
282,3
283,7
284,1
285,4
286,4
287,3
288,4
289,9
290,7
291,3
292,7
293,9
294,7
295,9
296,7
297,7
298,7
299,7
300,10
301,5
302,7
303,7
304,10
305,7
306,10
307,10
308,10
309,3
310,3
311,0
312,10
313,4
314,9
315,1
316,7
317,10
318,7
319,7
320,7
321,10
322,0
323,7
324,7
325,7
326,10
327,9
328,10
329,10
330,3
331,7
332,7
333,10
334,4
335,7
336,10
337,7
338,10
339,3
340,10
341,7
342,3
343,3
344,3
345,4
346,3
347,7
348,3
349,7
350,1
351,1
352,10
353,7
354,10
355,7
356,3
357,6
358,0
359,4
360,3
361,10
362,10
363,4
364,7
365,5
366,9
367,0
368,9
369,5
370,10
371,10
372,10
373,9
374,7
375,5
376,7
377,7
378,7
379,9
380,10
381,7
382,7
383,9
384,7
385,1
386,7
387,4
388,1
389,5
390,4
391,7
392,7
393,10
394,1
395,7
396,5
397,10
398,7
399,10
400,6
401,7
402,7
403,10
404,10
405,6
406,10
407,3
408,5
409,10
410,9
411,10
412,7
413,10
414,4
415,3
416,0
417,10
418,10
419,10
420,10
421,10
422,10
423,9
424,6
425,9
426,7
427,3
428,7
429,3
430,5
431,6
432,1
433,9
434,1
435,1
436,6
437,10
438,1
439,10
440,0
441,7
442,0
443,10
444,5
445,4
446,10
447,10
448,5
449,7
450,3
451,3
452,7
453,10
454,10
455,1
456,10
457,1
458,1
459,3
460,1
461,3
462,10
463,7
464,7
465,7
466,3
467,0
468,3
469,4
470,9
471,3
472,3
473,10
474,10
475,9
476,7
477,1
478,3
479,4
480,10
481,10
482,10
483,4
484,1
485,1
486,1
487,1
488,3
489,10
490,4
491,10
492,4
493,1
494,10
495,7
496,9
497,10
498,9
499,10
500,5
501,10
502,9
503,3
504,5
505,10
506,4
507,7
508,10
509,10
510,0
511,7
512,0
513,1
514,10
515,7
516,5
517,4
518,5
519,10
520,10
521,0
522,1
523,7
524,1
525,1
526,7
527,7
528,9
529,7
530,1
531,3
532,3
533,10
534,10
535,3
536,10
537,3
538,1
539,3
540,7
541,7
542,10
543,9
544,10
545,5
546,7
547,7
548,7
549,3
550,5
551,4
552,7
553,3
554,3
555,1
556,7
557,3
558,3
559,10
560,6
561,10
562,3
563,3
564,1
565,3
566,1
567,1
568,7
569,7
570,1
571,10
572,9
573,1
574,7
575,10
576,9
577,5
578,10
579,1
580,4
581,3
582,7
583,7
584,7
585,3
586,1
587,7
588,1
589,3
590,1
591,5
592,4
593,7
594,7
595,9
596,7
597,1
598,1
599,7
600,6
601,1
602,1
603,9
604,0
605,7
606,7
607,9
608,3
609,4
610,7
611,5
612,7
613,9
614,10
615,7
616,4
617,7
618,7
619,7
620,7
621,4
622,5
623,3
624,4
625,5
626,10
627,7
628,0
629,10
630,7
631,6
632,9
633,3
634,5
635,0
636,7
637,0
638,1
639,1
640,1
641,10
642,7
643,7
644,10
645,4
646,5
647,9
648,10
649,9
650,9
651,7
652,7
653,7
654,9
655,7
656,7
657,7
658,3
659,0
660,1
661,7
662,9
663,9
664,3
665,5
666,7
667,1
668,10
669,4
670,7
671,7
672,10
673,7
674,7
675,3
676,7
677,3
678,7
679,7
680,3
681,10
682,4
683,7
684,9
685,7
686,7
687,3
688,1
689,10
690,3
691,10
692,3
693,4
694,10
695,7
696,7
697,5
698,0
699,7
700,4
701,3
702,4
703,7
704,3
705,1
706,10
707,10
708,3
709,7
710,7
711,1
712,1
713,3
714,3
715,7
716,7
717,1
718,5
719,4
720,3
721,7
722,1
723,7
724,7
725,3
726,7
727,7
728,7
729,7
730,7
731,1
732,10
733,10
734,10
735,4
736,7
737,1
738,7
739,10
740,7
741,7
742,0
743,0
744,3
745,0
746,10
747,7
748,3
749,7
750,4
751,5
752,7
753,1
754,7
755,5
756,3
757,1
758,10
759,7
760,7
761,6
762,9
763,3
764,10
765,3
766,7
767,10
768,3
769,1
770,3
771,7
772,5
773,0
774,0
775,3
776,0
777,1
778,10
779,6
780,1
781,1
782,10
783,9
784,7
785,5
786,7
787,7
788,9
789,5
790,7
791,10
792,7
793,3
794,10
795,7
796,1
797,3
798,1
799,10
800,1
801,9
802,7
803,0
804,10
805,4
806,10
807,3
808,9
809,10
810,3
811,7
812,7
