node,community
0,0
1,0
2,0
3,1
4,9
5,3
6,9
7,3
8,10
9,10
10,0
11,3
12,1
13,0
14,3
15,3
16,9
17,9
18,5
19,9
20,9
21,9
22,1
23,4
24,3
25,9
26,7
27,3
28,7
29,9
30,9
31,9
32,3
33,1
34,1
35,9
36,9
37,9
38,9
39,9
40,9
41,8
42,9
43,5
44,9
45,7
46,1
47,9
48,3
49,1
50,3
51,9
52,9
53,3
54,0
55,9
56,7
57,5
58,5
59,9
60,9
61,9
62,5
63,3
64,8
65,5
66,0
67,0
68,0
69,9
70,3
71,9
72,1
73,1
74,9
75,3
76,1
77,5
78,9
79,0
80,8
81,9
82,9
83,9
84,5
85,9
86,5
87,5
88,9
89,3
90,5
91,3
92,5
93,3
94,7
95,10
96,3
97,3
98,5
99,7
100,4
101,7
102,5
103,9
104,1
105,3
106,3
107,5
108,8
109,3
110,5
111,5
112,0
113,4
114,11
115,9
116,7
117,3
118,8
119,7
120,9
121,8
122,9
123,8
124,7
125,5
126,5
127,8
128,1
129,10
130,8
131,6
132,7
133,1
134,10
135,5
136,5
137,9
138,1
139,1
140,5
141,10
142,8
143,3
144,1
145,7
146,3
147,3
148,7
149,7
150,9
151,3
152,4
153,7
154,7
155,9
156,9
157,1
158,9
159,8
160,10
161,1
162,1
163,8
164,7
165,7
166,3
167,8
168,5
169,8
170,9
171,1
172,1
173,1
174,3
175,1
176,9
177,5
178,9
179,1
180,9
181,5
182,5
183,1
184,7
185,7
186,3
187,1
188,7
189,1
190,7
191,3
192,7
193,5
194,3
195,9
196,1
197,9
198,10
199,13
200,7
201,8
202,8
203,5
204,6
205,5
206,1
207,0
208,7
209,5
210,9
211,8
212,7
213,1
214,7
215,1
216,3
217,7
218,1
219,1
220,5
221,9
222,3
223,3
224,9
225,1
226,1
227,9
228,9
229,7
230,3
231,7
232,7
233,1
234,8
235,9
236,7
237,5
238,3
239,9
240,10
241,1
242,1
243,9
244,7
245,0
246,1
247,1
248,3
249,1
250,8
251,8
252,7
253,1
254,1
255,7
256,3
257,7
258,7
259,7
260,8
261,7
262,9
263,8
264,9
265,1
266,3
267,1
268,1
269,7
270,10
271,3
272,3
273,10
274,3
275,7
276,3
277,7
278,9
279,3
280,7
281,1
282,3
283,7
284,0
285,1
286,1
287,3
288,1
289,7
290,9
291,3
292,5
293,7
294,7
295,8
296,5
297,7
298,5
299,7
300,1
301,9
302,7
303,7
304,7
305,7
306,1
307,1
308,1
309,3
310,3
311,3
312,3
313,9
314,9
315,0
316,7
317,7
318,7
319,5
320,7
321,1
322,0
323,7
324,7
325,5
326,1
327,5
328,7
329,7
330,8
331,5
332,5
333,1
334,10
335,7
336,1
337,7
338,1
339,3
340,1
341,5
342,3
343,5
344,1
345,1
346,3
347,1
348,8
349,5
350,7
351,7
352,1
353,7
354,7
355,3
356,3
357,4
358,13
359,1
360,6
361,3
362,1
363,3
364,7
365,10
366,9
367,13
368,7
369,9
370,13
371,1
372,1
373,9
374,5
375,9
376,7
377,9
378,5
379,5
380,1
381,1
382,5
383,7
384,7
385,8
386,1
387,8
388,0
389,10
390,9
391,7
392,7
393,1
394,0
395,7
396,10
397,1
398,9
399,1
400,13
401,5
402,9
403,1
404,1
405,13
406,1
407,13
408,8
409,1
410,9
411,5
412,1
413,1
414,1
415,1
416,4
417,1
418,1
419,1
420,1
421,1
422,1
423,3
424,13
425,1
426,7
427,8
428,5
429,3
430,10
431,4
432,9
433,8
434,3
435,0
436,13
437,1
438,9
439,1
440,4
441,1
442,4
443,1
444,10
445,1
446,1
447,1
448,9
449,7
450,8
451,3
452,7
453,1
454,7
455,8
456,1
457,8
458,8
459,3
460,3
461,3
462,1
463,7
464,7
465,7
466,3
467,4
468,3
469,9
470,13
471,3
472,3
473,1
474,1
475,8
476,1
477,8
478,7
479,1
480,1
481,8
482,1
483,8
484,0
485,8
486,10
487,6
488,5
489,1
490,1
491,1
492,10
493,1
494,8
495,5
496,7
497,7
498,7
499,1
500,10
501,1
502,7
503,10
504,10
505,1
506,10
507,5
508,5
509,1
510,1
511,7
512,1
513,0
514,1
515,1
516,9
517,9
518,1
519,7
520,1
521,13
522,3
523,5
524,1
525,10
526,7
527,7
528,7
529,7
530,8
531,3
532,3
